,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,9948.18,2149.84,511.02,1.0,343.0,687.0,104.13,117.67,135.39,188.45,23.0,0.93,4065.0,0.54,1.87,79.58,1.02,4461.78,Purkinje
2,23086.1,7776.27,921.96,1.0,342.0,685.0,109.6,193.67,205.62,240.63,24.0,0.93,2591.0,0.53,1.94,73.55,1.02,5905.23,Purkinje
3,9805.17,2032.59,990.02,2.0,357.0,716.0,118.58,158.55,170.47,188.84,23.0,0.93,5725.0,0.53,1.7,82.59,1.0284799999999998,5497.76,Purkinje
4,8336.33,1742.48,799.53,1.0,369.0,739.0,125.05,152.41,171.11,204.87,26.0,0.94,5034.0,0.52,1.66,88.75,1.02451,4980.26,Purkinje
14,8005.85,2676.25,6980.59,7.0,47.0,101.0,337.93,391.87,408.08,604.04,7.0,0.72,2292.0,0.45,1.46,75.89,1.09,6849.98,Motoneuron
22,18212.3,1525.95,612.765,3.0,415.0,833.0,451.64,822.03,681.12,1338.62,28.0,0.89,4210.0,0.66,1.97,81.22,1.05,21026.0,Somatostatin (SOM)-positive
23,20808.3,1670.68,700.0880000000001,6.0,606.0,1218.0,496.63,1030.88,769.72,1307.97,43.0,0.88,7032.0,0.64,1.97,84.33,1.06,24985.4,Somatostatin (SOM)-positive
24,15961.8,2045.2,663.2560000000001,4.0,204.0,412.0,314.89,347.41,247.27,633.23,14.0,0.87,2655.0,0.54,1.79,82.52,1.06,13808.8,Neuropeptide Y (NPY)-positive
25,28802.3,3754.1,510.865,10.0,320.0,650.0,532.78,378.49,504.83,573.28,18.0,0.86,5903.0,0.5,1.95,61.14,1.06,20170.0,Neuropeptide Y (NPY)-positive
26,17763.4,1839.74,929.409,9.0,289.0,587.0,303.04,591.39,425.09,594.57,18.0,0.88,4065.0,0.52,1.81,69.33,1.06,18185.0,Neuropeptide Y (NPY)-positive
27,21286.4,2463.48,562.422,11.0,350.0,711.0,324.26,631.66,486.76,580.08,17.0,0.86,6636.0,0.58,1.88,70.26,1.05,18668.9,Neuropeptide Y (NPY)-positive
28,25458.2,2893.7,828.352,6.0,429.0,864.0,446.44,513.51,505.46,976.88,27.0,0.87,5755.0,0.53,1.77,72.19,1.06,26556.0,Neuropeptide Y (NPY)-positive
29,24789.7,2551.0,654.158,9.0,352.0,713.0,261.54,655.71,444.41,1029.14,18.0,0.9,5150.0,0.52,1.76,66.05,1.04,25727.5,Neuropeptide Y (NPY)-positive
30,16041.3,1985.34,588.957,8.0,288.0,584.0,485.32,361.8,343.12,591.32,18.0,0.84,4742.0,0.5,1.81,70.16,1.06,15825.4,Neuropeptide Y (NPY)-positive
31,18374.0,2263.75,825.294,6.0,249.0,504.0,700.34,696.53,676.38,915.65,27.0,0.87,3597.0,0.55,1.92,81.18,1.05,16754.09,Somatostatin (SOM)-positive
32,47102.2,4452.85,1380.17,11.0,596.0,1203.0,608.96,579.57,569.5,875.14,21.0,0.89,9771.0,0.5,1.92,74.69,1.04,51088.5,Others
33,22174.0,2591.31,799.2289999999999,7.0,304.0,615.0,317.16,592.79,555.37,846.98,20.0,0.9,4790.0,0.5,1.95,73.88,1.04,22244.4,Others
34,25348.3,2855.63,971.15,7.0,355.0,717.0,715.04,552.96,661.02,865.51,19.0,0.88,6399.0,0.51,1.92,74.86,1.04,26844.2,Others
35,27006.2,2521.03,1060.84,7.0,417.0,841.0,420.09,353.71,505.4,793.08,20.0,0.88,6519.0,0.51,1.94,75.89,1.05,29631.8,Others
36,25362.8,2820.87,855.5060000000001,6.0,371.0,748.0,634.34,480.14,502.08,715.11,19.0,0.88,5666.0,0.5,1.93,80.89,1.05,25466.5,Others
37,18467.7,1886.08,908.3480000000001,8.0,295.0,598.0,261.79,418.4,358.27,670.94,23.0,0.89,3699.0,0.5,1.96,81.13,1.04,19992.5,Others
40,6871.69,1008.42,796.97,4.0,122.0,248.0,262.73,230.32,219.08,605.86,23.0,0.86,2210.0,0.62,1.81,76.44,1.06,5799.92,Neuropeptide Y (NPY)-positive
41,5255.14,857.32,978.553,7.0,35.0,77.0,216.07,543.25,333.73,358.49,6.0,0.86,1108.0,0.47,1.72,61.8,1.04,3098.96,Neuropeptide Y (NPY)-positive
43,22406.5,1938.8,612.805,4.0,366.0,736.0,545.8,676.76,630.99,1441.29,39.0,0.84,6576.0,0.61,1.95,78.35,1.07,25538.7,Somatostatin (SOM)-positive
44,14934.2,1361.01,726.802,5.0,260.0,525.0,723.97,1073.23,912.44,1551.17,26.0,0.85,4508.0,0.64,1.92,84.36,1.07,16543.0,Somatostatin (SOM)-positive
46,9351.23,1252.72,1042.53,10.0,181.0,372.0,229.95,294.05,204.21,380.64,12.0,0.88,3566.0,0.52,1.79,85.65,1.05,8779.92,Somatostatin (SOM)-positive
47,12030.4,1228.06,615.928,6.0,161.0,328.0,403.07,481.34,434.18,796.32,15.0,0.82,5333.0,0.57,1.88,89.83,1.06,12850.3,Somatostatin (SOM)-positive
48,12394.6,1449.23,332.93800000000005,4.0,75.0,154.0,327.11,641.39,544.42,1537.31,14.0,0.71,5930.0,0.5,1.77,85.99,1.09,12028.7,Martinotti
49,23057.1,1540.42,758.4730000000001,7.0,452.0,911.0,983.92,577.43,871.82,1882.92,36.0,0.73,16151.0,0.65,1.97,81.09,1.12,29302.2,Somatostatin (SOM)-positive
51,9082.24,1216.52,666.73,9.0,106.0,221.0,368.73,363.36,278.59,408.49,13.0,0.85,3431.0,0.56,1.84,85.81,1.05,8290.49,Others
52,18217.9,1166.49,1317.68,6.0,245.0,496.0,602.42,1224.8,999.85,1294.39,25.0,0.78,10717.0,0.58,1.97,83.12,1.1,23635.0,Martinotti
53,16948.5,1699.25,890.564,6.0,432.0,870.0,286.63,598.34,630.12,1204.08,34.0,0.86,9689.0,0.64,1.92,82.49,1.06,18506.8,Somatostatin (SOM)-positive
54,20250.0,1963.11,699.172,9.0,292.0,593.0,540.19,363.68,463.5,664.18,17.0,0.83,10290.0,0.54,1.93,86.79,1.06,22193.4,Somatostatin (SOM)-positive
55,8492.31,979.01,499.855,6.0,205.0,416.0,439.45,441.34,386.48,598.0,30.0,0.89,3371.0,0.58,1.91,83.38,1.05,9257.7,Others
56,20323.59,1825.17,496.92,7.0,374.0,755.0,850.1,543.92,707.63,855.13,18.0,0.88,9567.0,0.6,1.94,80.47,1.06,22705.4,Somatostatin (SOM)-positive
57,17823.8,1359.41,508.842,9.0,528.0,1065.0,551.91,255.59,406.22,543.28,21.0,0.85,8750.0,0.55,1.96,84.2,1.07,21564.9,Somatostatin (SOM)-positive
58,27707.9,3787.81,1021.55,7.0,378.0,763.0,491.05,425.17,450.67,851.25,18.0,0.86,8618.0,0.6,1.95,82.62,1.07,20520.9,Somatostatin (SOM)-positive
59,22034.0,2163.4,576.294,6.0,460.0,926.0,368.57,429.51,449.66,646.8,22.0,0.88,7323.0,0.51,1.96,86.53,1.05,24036.2,Neuropeptide Y (NPY)-positive
60,5679.55,762.74,650.82,6.0,62.0,130.0,250.9,597.0,413.39,611.39,16.0,0.86,1938.0,0.64,1.86,90.13,1.05,4457.42,Others
61,9603.4,1277.98,375.029,7.0,189.0,385.0,309.67,467.88,334.34,471.6,16.0,0.86,4617.0,0.59,1.91,89.11,1.07,8212.04,Others
